Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,200.620000,0.000000
2026-03-24,181.040000,-0.102695
2026-03-25,181.100000,0.000331
2026-03-26,173.380000,-0.043564
2026-03-27,161.140000,-0.073212
2026-03-30,160.790000,-0.002174
2026-03-31,174.610000,0.082456
2026-04-01,172.990000,-0.009321
2026-04-02,171.460000,-0.008884
2026-04-06,174.790000,0.019235
2026-04-07,175.180000,0.002229
2026-04-08,175.090000,-0.000514
2026-04-09,169.020000,-0.035283
2026-04-10,167.850000,-0.006946
2026-04-13,174.530000,0.039026
2026-04-14,184.410000,0.055065
2026-04-15,195.900000,0.060443
2026-04-16,199.825000,0.019838
2026-04-17,206.330000,0.032035
2026-04-20,211.630000,0.025363
2026-04-21,195.950000,-0.076980
2026-04-22,206.240000,0.051181
2026-04-23,197.930000,-0.041127
2026-04-24,199.770000,0.009253
2026-04-27,196.680000,-0.015589
2026-04-28,194.100000,-0.013205
2026-04-29,181.730000,-0.065851
2026-04-30,187.770000,0.032696
2026-05-01,191.250000,0.018364
2026-05-04,202.990000,0.059575
2026-05-05,197.750000,-0.026153
2026-05-06,197.960000,0.001061
2026-05-07,192.960000,-0.025582
2026-05-08,201.160000,0.041618
2026-05-11,216.600000,0.073952
2026-05-12,207.640000,-0.042247
2026-05-13,201.800000,-0.028529
2026-05-14,212.010000,0.049356
2026-05-15,195.430000,-0.081431
2026-05-18,189.440000,-0.031130
2026-05-19,193.450000,0.020947
2026-05-20,191.290000,-0.011228
