Data,Equità_Strategia
2025-07-31,10000.0000
2025-08-01,10000.0000
2025-08-04,10000.0000
2025-08-05,10000.0000
2025-08-06,10000.0000
2025-08-07,10000.0000
2025-08-08,10000.0000
2025-08-11,10000.0000
2025-08-12,10000.0000
2025-08-13,10000.0000
2025-08-14,10000.0000
2025-08-15,10000.0000
2025-08-18,10000.0000
2025-08-19,10000.0000
2025-08-20,10090.5414
2025-08-21,10090.5414
2025-08-22,10090.5414
2025-08-25,10090.5414
2025-08-26,10090.5414
2025-08-27,10090.5414
2025-08-28,10090.5414
2025-08-29,10090.5414
2025-09-02,10090.5414
2025-09-03,10090.5414
2025-09-04,10090.5414
2025-09-05,10090.5414
2025-09-08,10090.5414
2025-09-09,10090.5414
2025-09-10,10090.5414
2025-09-11,10090.5414
2025-09-12,10090.5414
2025-09-15,10090.5414
2025-09-16,10090.5414
2025-09-17,10090.5414
2025-09-18,10090.5414
2025-09-19,10090.5414
2025-09-22,10090.5414
2025-09-23,10090.5414
2025-09-24,10090.5414
2025-09-25,10090.5414
2025-09-26,10090.5414
2025-09-29,10090.5414
2025-09-30,10090.5414
2025-10-01,10090.5414
2025-10-02,10090.5414
2025-10-03,10090.5414
2025-10-06,10090.5414
2025-10-07,10090.5414
2025-10-08,10090.5414
2025-10-09,10090.5414
2025-10-10,10090.5414
2025-10-13,10090.5414
2025-10-14,10090.5414
2025-10-15,10090.5414
2025-10-16,10090.5414
2025-10-17,10090.5414
2025-10-20,10090.5414
2025-10-21,10090.5414
2025-10-22,10090.5414
2025-10-23,10090.5414
2025-10-24,10090.5414
2025-10-27,10090.5414
2025-10-28,10090.5414
2025-10-29,10090.5414
2025-10-30,10090.5414
2025-10-31,10090.5414
2025-11-03,10136.4055
2025-11-04,10003.1215
2025-11-05,10085.7273
2025-11-06,10084.7133
2025-11-07,10134.1246
2025-11-10,10418.9360
2025-11-11,10406.2664
2025-11-12,10653.5764
2025-11-13,10609.2330
2025-11-14,10357.6161
2025-11-17,10308.7115
2025-11-18,10290.9741
2025-11-19,10332.5300
2025-11-20,10278.8112
2025-11-21,10329.9961
2025-11-24,10368.5114
2025-11-25,10488.3661
2025-11-26,10554.2478
2025-11-28,10688.7975
2025-12-01,10742.0097
2025-12-02,10608.4733
2025-12-03,10640.6532
2025-12-04,10672.3271
2025-12-05,10675.1147
2025-12-08,10609.9939
2025-12-09,10659.4051
2025-12-10,10633.3051
2025-12-11,10859.0769
2025-12-12,10896.0722
2025-12-15,10912.7963
2025-12-16,10907.2212
2025-12-17,11016.1794
2025-12-18,10995.9081
2025-12-19,11051.4005
2025-12-22,11262.2224
2025-12-23,11262.2224
2025-12-24,11262.2224
2025-12-26,11262.2224
2025-12-29,11262.2224
2025-12-30,11262.2224
2025-12-31,11262.2224
2026-01-02,11262.2224
2026-01-05,11262.2224
2026-01-06,11262.2224
2026-01-07,11262.2224
2026-01-08,11262.2224
2026-01-09,11262.2224
2026-01-12,11262.2224
2026-01-13,11262.2224
2026-01-14,11262.2224
2026-01-15,11262.2224
2026-01-16,11262.2224
2026-01-20,11262.2224
2026-01-21,11262.2224
2026-01-22,11262.2224
2026-01-23,11262.2224
2026-01-26,11262.2224
2026-01-27,11262.2224
2026-01-28,11262.2224
2026-01-29,11262.2224
2026-01-30,11262.2224
2026-02-02,11262.2224
2026-02-03,11262.2224
2026-02-04,11262.2224
2026-02-05,11262.2224
2026-02-06,11262.2224
2026-02-09,11262.2224
2026-02-10,11262.2224
2026-02-11,11262.2224
2026-02-12,11262.2224
2026-02-13,11262.2224
2026-02-17,11262.2224
2026-02-18,11262.2224
2026-02-19,11262.2224
2026-02-20,11262.2224
2026-02-23,11262.2224
2026-02-24,11262.2224
2026-02-25,11262.2224
2026-02-26,11262.2224
2026-02-27,11262.2224
2026-03-02,11262.2224
2026-03-03,11262.2224
2026-03-04,11262.2224
2026-03-05,11262.2224
2026-03-06,11262.2224
2026-03-09,11262.2224
2026-03-10,11262.2224
2026-03-11,11262.2224
2026-03-12,11262.2224
2026-03-13,11262.2224
2026-03-16,11262.2224
2026-03-17,11278.0084
2026-03-18,11027.4610
2026-03-19,10375.2721
2026-03-20,10375.2721
2026-03-23,9997.7546
2026-03-24,9986.8575
2026-03-25,10328.5078
2026-03-26,9932.8295
2026-03-27,9932.8295
2026-03-30,9932.8295
2026-03-31,9932.8295
2026-04-01,9932.8295
2026-04-02,9932.8295
2026-04-06,9932.8295
2026-04-07,9932.8295
2026-04-08,9932.8295
2026-04-09,9932.8295
2026-04-10,9932.8295
2026-04-13,9932.8295
2026-04-14,9932.8295
2026-04-15,9984.2949
2026-04-16,10014.3510
2026-04-17,9865.7184
2026-04-20,9970.7079
2026-04-21,10193.4507
2026-04-22,10123.2516
2026-04-23,10179.6575
2026-04-24,10144.2499
2026-04-27,10240.7989
2026-04-28,10413.5167
2026-04-29,10508.8303
2026-04-30,10365.7564
2026-05-01,10334.4660
2026-05-04,10561.7372
2026-05-05,10487.0097
2026-05-06,10227.4179
2026-05-07,10190.5688
2026-05-08,10148.1611
2026-05-11,10148.1611
2026-05-12,10148.1611
2026-05-13,10148.1611
2026-05-14,10148.1611
2026-05-15,10148.1611
2026-05-18,10148.1611
2026-05-19,10148.1611
2026-05-20,10148.1611
2026-05-21,10148.1611
2026-05-22,10148.1611
